,seed,seed,MAPE,MAPE,NNSE,NNSE,WI,WI,R,R,R2,R2,KGE,KGE
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
AO-MLP,20.8,9.964381008817803,1.0,0.0,0.5589817199054483,0.05477786610970962,0.4337092414339635,0.21546616400827828,0.4530720480455329,0.16401097179598803,0.19664798631491265,0.16331659142847396,0.10212144641456648,0.23426742265251457
AOA-MLP,20.8,9.964381008817803,1.0,0.0,0.5217919592244797,0.04559998756825787,0.328392080345994,0.18872542380745133,0.016293905169327116,0.7312330136889866,0.0709303732427348,0.16049184050499932,0.024110035340572922,0.18904114295916874
ARO-MLP,20.8,9.964381008817803,1.0,0.0,0.7104206597054274,0.002523467035318464,0.8613007824645557,0.0023925851419990063,0.7700119869360049,0.0031539010372279796,0.5923673028027452,0.004997299666360623,0.6905504908685672,0.006889676786882801
ASO-MLP,20.8,9.964381008817803,1.0,0.0,0.6484759168296449,0.025190496845119145,0.7761262470354718,0.02131898024411143,0.694415923686573,0.03667529102638206,0.4557374564097902,0.06253436398615148,0.5194467411451613,0.04301227165391151
GA-MLP,20.8,9.964381008817803,1.0,0.0,0.7036237129653112,0.0041466138202001165,0.8538581603242207,0.004051158746252518,0.7611065077764287,0.005542720193345027,0.5787410801945589,0.008434893018428851,0.6742503687991236,0.012723027310890509
GBO-MLP,20.8,9.964381008817803,1.0,0.0,0.7104449197115427,0.0024868278611747292,0.8601058236989267,0.0029177881718045703,0.7699026248135452,0.003181945902011575,0.5924158255101664,0.004926343587940039,0.6832392906498576,0.009936465498560976
HPSO-TVAC-MLP,20.8,9.964381008817803,1.0,0.0,0.7104453529046598,0.0013012642712696611,0.8602875517513466,0.00137337859229395,0.7698877253178736,0.0016501969500763297,0.5924279489741087,0.0025808528291825254,0.6865708023351884,0.0045935127852573055
JADE-MLP,20.8,9.964381008817803,1.0,0.0,0.7095811721360562,0.00206749563466784,0.8604044339712174,0.0032168242834916686,0.7691126244861393,0.0026992670988606905,0.5907071811144342,0.004111436262085652,0.6888293257821508,0.014261648016098468
L-SHADE-MLP,20.8,9.964381008817803,1.0,0.0,0.7096776890674839,0.002482847598526281,0.8600399440094973,0.0021779514029011413,0.7689648388517618,0.0031263246113458418,0.5908941417458642,0.004917829475092306,0.6864983956002203,0.006250390455212111
P-PSO-MLP,20.8,9.964381008817803,1.0,0.0,0.6741032432967603,0.015716842441178637,0.8035718680971957,0.02550522824246092,0.7242970832394005,0.024695682415882506,0.5158162101314481,0.034866459090923445,0.5560573544052981,0.057427418530783564
PSO-MLP,20.8,9.964381008817803,1.0,0.0,0.705938558639891,0.003258298203752101,0.8558438654687108,0.005149519516724035,0.7643058161306537,0.004157740318606316,0.5834189464678206,0.0065430664675801475,0.676089114657963,0.018718421528744787
RW-GWO-MLP,20.8,9.964381008817803,1.0,0.0,0.7071525583599665,0.0028233351966812236,0.8546835193412073,0.0063467747640468305,0.765834626940441,0.003511741633714754,0.5858576877563733,0.005648960661381943,0.6698710207062031,0.02233086482320417
SMA-MLP,20.8,9.964381008817803,1.0,0.0,0.674252517519251,0.01836725872555715,0.8034500548274538,0.028494193146553177,0.7254769660393696,0.02533302588996447,0.5158979748331591,0.0399071224155378,0.5554740709395697,0.0652174872198519
WOA-MLP,20.8,9.964381008817803,1.0,0.0,0.6839104255419451,0.022492926664879193,0.8189464436925658,0.034532721671373584,0.7357063798251843,0.03483203531093266,0.5363365008487573,0.05016118414208885,0.5896814276956827,0.07002986349605489
